274117.842	4180530.117	1212.880075289884
274123.593	4180532.517	1212.981364922224
274131.103	4180533.69	1212.988624203624
274136.517	4180535.117	1213.220749474058
274143.167	4180536.885	1213.448480591202
274147.908	4180537.976	1213.595697695551
274153.465	4180539.233	1214.159518458535
274158.076	4180539.548	1213.865337485347
274164.528	4180539.214	1214.57273261654
274171.24	4180538.882	1215.226594597034
274176.205	4180537.734	1216.269277707487
274183.903	4180536.871	1217.095979278344
274188.407	4180535.239	1217.702674839628
274193.042	4180534.343	1217.780080668889
274201.211	4180532.462	1217.663062074511
274206.136	4180533.582	1218.439363016432
274211.541	4180534.148	1218.347359585939
274218.138	4180536.242	1219.147940152838
274223.335	4180536.28	1219.446701133551
274230.17	4180539.27	1219.841795934355
274235.597	4180539.043	1219.454971831957
274239.34	4180540.756	1219.221197827565
274244.381	4180541.816	1219.272581471847
274248.532	4180542.154	1219.151498559973
274255.038	4180545.274	1219.45685745978
274260.304	4180546.691	1219.80508926869
274266.505	4180548.052	1220.646352165361
274274.947	4180548.942	1221.217388121244
